bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
polybench.linear_algebra.solvers.trisolv["S"],8.88±0.03ms,393±2μs,389±9μs,2.96±0ms
polybench.linear_algebra.solvers.trisolv["M"],27.7±0.08ms,5.76±0.09ms,5.72±0.02ms,12.3±0.03ms
polybench.linear_algebra.solvers.trisolv["paper"],125±0.8ms,56.3±0.04ms,56.2±0.09ms,79.9±0.1ms
polybench.medley.deriche["S"],9.42±0.01ms,74.2±0.4ms,5.21±0.04ms,6.33±0.02ms
polybench.medley.deriche["M"],54.6±0.2ms,294±2ms,35.1±0.1ms,52.6±0.08ms
polybench.medley.deriche["paper"],784±0.2ms,724±3ms,660±0.6ms,1.68±0s
polybench.medley.floyd_warshall["S"],1.69±0.01ms,3.57±0ms,1.75±0ms,3.65±0.01ms
polybench.medley.floyd_warshall["M"],5.85±0.1ms,11.5±0.4ms,5.86±0.2ms,41.5±0.5ms
polybench.medley.floyd_warshall["paper"],1.90±0.05s,2.45±0.04s,1.86±0.02s,failed
polybench.medley.nussinov["S"],30.4±0.03μs,33.1±0.08μs,31.7±0.04μs,5.46±0.02ms
polybench.medley.nussinov["M"],177±0.2μs,184±0.2μs,190±0.3μs,49.8±0.2ms
polybench.medley.nussinov["paper"],19.9±0.01ms,23.1±0.01ms,23.1±0ms,7.20±0.01s
polybench.stencils.adi["S"],51.5±0.2ms,374±2ms,22.9±0.08ms,9.77±0.03ms
polybench.stencils.adi["M"],448±0.3ms,2.98±0.01s,199±0.9ms,90.4±0.3ms
polybench.stencils.adi["paper"],2.25±0.01s,failed,988±3ms,451±0.9ms
polybench.stencils.fdtd_2d["S"],27.5±0.8ms,5.08±0.02ms,3.26±0.01ms,4.67±0.01ms
polybench.stencils.fdtd_2d["M"],324±0.4ms,32.9±0.6ms,23.0±0.8ms,76.0±0.07ms
polybench.stencils.fdtd_2d["paper"],failed,1.07±0.03s,717±20ms,6.87±0.01s
polybench.stencils.heat_3d["S"],14.3±0.04ms,2.22±0.04ms,2.22±0.01ms,5.10±0.05ms
polybench.stencils.heat_3d["M"],66.6±0.5ms,7.95±0.01ms,9.23±0.3ms,51.8±0.2ms
polybench.stencils.heat_3d["paper"],failed,2.38±0.01s,3.22±0.04s,failed
polybench.stencils.jacobi_1d["S"],29.5±0.2ms,153±0.9ms,13.1±0.03ms,6.58±0.01ms
polybench.stencils.jacobi_1d["M"],201±0.3ms,336±200ms,84.7±0.1ms,59.8±0.04ms
polybench.stencils.jacobi_1d["paper"],485±2ms,212±0.9ms,176±0.3ms,197±7ms
polybench.stencils.jacobi_2d["S"],12.2±0.02ms,3.94±0.01ms,3.86±0.05ms,4.51±0.01ms
polybench.stencils.jacobi_2d["M"],165±0.2ms,13.7±0.09ms,18.6±0.1ms,66.2±3ms
polybench.stencils.jacobi_2d["paper"],failed,failed,failed,failed
polybench.stencils.seidel_2d["S"],12.0±0.03ms,42.9±0.7ms,2.91±0.02ms,6.97±0.1ms
polybench.stencils.seidel_2d["M"],43.1±0.2ms,173±2ms,10.5±0.02ms,52.4±0.2ms
polybench.stencils.seidel_2d["paper"],1.54±0s,failed,371±0.9ms,5.78±0.01s
