bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
polybench.linear_algebra.blas.symm["M"],3.38±0.01ms,5.33±0.01ms,3.41±0.01ms,44.7±0.1ms
polybench.linear_algebra.blas.symm["paper"],312±0.4ms,375±0.7ms,311±0.9ms,4.28±0s
polybench.linear_algebra.blas.syr2k["S"],23.8±0.05ms,114±1ms,5.40±0.01ms,6.54±0.03ms
polybench.linear_algebra.blas.syr2k["M"],269±1ms,976±6ms,58.4±0.5ms,58.7±0.2ms
polybench.linear_algebra.blas.syr2k["paper"],failed,failed,5.23±0s,6.50±0.01s
polybench.linear_algebra.blas.syrk["S"],32.3±0.2ms,227±1ms,11.7±0.1ms,5.07±0.02ms
polybench.linear_algebra.blas.syrk["M"],325±0.6ms,1.90±0s,117±0.7ms,45.2±0.1ms
polybench.linear_algebra.blas.syrk["paper"],14.6±0.01s,failed,5.14±0.01s,2.51±0.02s
polybench.linear_algebra.blas.trmm["S"],318±0.6μs,3.95±0.1ms,316±1μs,5.41±0.02ms
polybench.linear_algebra.blas.trmm["M"],1.54±0ms,4.13±0.01ms,1.55±0ms,53.5±0.1ms
polybench.linear_algebra.blas.trmm["paper"],83.0±2ms,114±0.4ms,83.2±1ms,1.82±0.01s
polybench.linear_algebra.kernels.atax["S"],17.4±0.1ms,15.1±0.01ms,15.1±0.01ms,15.2±0.09ms
polybench.linear_algebra.kernels.atax["M"],136±0.3ms,96.7±0.1ms,96.5±1ms,97.0±0.06ms
polybench.linear_algebra.kernels.atax["paper"],506±1ms,306±0.3ms,306±0.3ms,307±0.5ms
polybench.linear_algebra.kernels.bicg["S"],20.2±0.2ms,14.1±0.5ms,14.1±0.03ms,14.1±0.01ms
polybench.linear_algebra.kernels.bicg["M"],146±1ms,95.1±0.2ms,95.5±0.2ms,96.3±0.6ms
polybench.linear_algebra.kernels.bicg["paper"],549±0.4ms,308±0.2ms,309±0.03ms,309±0.4ms
polybench.linear_algebra.kernels.doitgen["S"],33.7±0.2ms,330±4ms,19.0±5ms,5.15±0.1ms
polybench.linear_algebra.kernels.doitgen["M"],197±0.2ms,1.28±0.01s,108±8ms,32.6±0.2ms
polybench.linear_algebra.kernels.doitgen["paper"],836±0.8ms,failed,494±10ms,157±0.3ms
polybench.linear_algebra.kernels.k2mm["S"],9.65±0.03ms,10.2±0.03ms,10.8±0.05ms,8.03±0.04ms
polybench.linear_algebra.kernels.k2mm["M"],168±0.1ms,149±0.4ms,172±0.2ms,168±3ms
polybench.linear_algebra.kernels.k2mm["paper"],626±0.7ms,567±1ms,635±0.7ms,589±2ms
polybench.linear_algebra.kernels.k3mm["S"],94.5±0.5ms,81.0±0.5ms,81.0±0.09ms,82.8±0.07ms
polybench.linear_algebra.kernels.k3mm["M"],224±0.7ms,197±1ms,196±0.2ms,224±0.7ms
polybench.linear_algebra.kernels.k3mm["paper"],874±0.5ms,800±3ms,798±0.9ms,810±9ms
polybench.linear_algebra.kernels.mvt["S"],28.3±0.08ms,23.1±0.03ms,23.0±0.04ms,23.0±0.06ms
polybench.linear_algebra.kernels.mvt["M"],127±0.4ms,93.1±0.1ms,93.1±0.3ms,92.9±0.1ms
polybench.linear_algebra.kernels.mvt["paper"],771±6ms,199±0.1ms,203±4ms,199±0.2ms
polybench.linear_algebra.solvers.cholesky["S"],13.5±0.04ms,319±2ms,failed,7.07±0.03ms
polybench.linear_algebra.solvers.cholesky["M"],168±0.6ms,2.83±0s,174±1ms,62.5±0.2ms
