bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
polybench.medley.deriche["M"],54.4±0.2ms,298±2ms,35.2±0.1ms,52.8±0.08ms
polybench.medley.deriche["paper"],784±0.3ms,725±0.7ms,661±0.9ms,1.68±0s
polybench.medley.floyd_warshall["S"],1.66±0ms,3.50±0.01ms,1.72±0ms,3.67±0.02ms
polybench.medley.floyd_warshall["M"],5.65±0.07ms,11.5±0.04ms,5.89±0.2ms,42.5±0.2ms
polybench.medley.floyd_warshall["paper"],1.85±0.05s,2.76±0.06s,1.93±0.06s,failed
polybench.medley.nussinov["S"],30.1±0.1μs,33.1±0.06μs,31.6±0.06μs,5.49±0.02ms
polybench.medley.nussinov["M"],177±0.2μs,184±0.2μs,190±0.3μs,49.9±0.04ms
polybench.medley.nussinov["paper"],19.9±0.02ms,23.1±0.02ms,23.2±0.01ms,7.19±0.01s
polybench.stencils.adi["S"],51.2±0.2ms,374±2ms,22.3±0.04ms,9.87±0.02ms
polybench.stencils.adi["M"],449±2ms,2.98±0.01s,196±0.5ms,91.2±0.1ms
polybench.stencils.adi["paper"],2.25±0.01s,failed,975±4ms,456±0.2ms
polybench.stencils.fdtd_2d["S"],28.3±0.2ms,5.05±0.02ms,3.23±0.01ms,4.77±0.09ms
polybench.stencils.fdtd_2d["M"],325±2ms,32.5±0.5ms,22.9±0.4ms,75.9±0.02ms
polybench.stencils.fdtd_2d["paper"],failed,1.07±0.01s,702±2ms,6.86±0.01s
polybench.stencils.heat_3d["S"],12.9±0.03ms,2.18±0ms,2.20±0.01ms,5.02±0.05ms
polybench.stencils.heat_3d["M"],65.0±0.1ms,7.95±0.02ms,9.10±0.1ms,51.5±0.2ms
polybench.stencils.heat_3d["paper"],failed,2.39±0.01s,3.24±0.01s,failed
polybench.stencils.jacobi_1d["S"],29.0±0.1ms,155±5ms,13.2±0.02ms,6.67±0.02ms
polybench.stencils.jacobi_1d["M"],201±0.4ms,334±200ms,85.8±0.2ms,60.0±0.04ms
polybench.stencils.jacobi_1d["paper"],479±3ms,212±0.3ms,176±0.6ms,193±0.2ms
polybench.stencils.jacobi_2d["S"],12.5±0.9ms,3.94±0.01ms,3.92±0.03ms,4.48±0.02ms
polybench.stencils.jacobi_2d["M"],164±0.1ms,13.7±0.1ms,18.4±0.08ms,66.3±0.04ms
polybench.stencils.jacobi_2d["paper"],failed,failed,failed,failed
polybench.stencils.seidel_2d["S"],11.8±0.02ms,42.3±1ms,2.91±0ms,6.71±0.05ms
polybench.stencils.seidel_2d["M"],42.5±0.2ms,173±1ms,10.4±0.02ms,51.3±0.2ms
polybench.stencils.seidel_2d["paper"],1.51±0.01s,failed,369±0.7ms,5.76±0.01s
